No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,CDNA,Caredx Inc,Healthcare,Diagnostics & Research,USA,2784.85,25.95,53.83,-0.83%,1384015
2,ETON,Eton Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,1586.36,146.75,55.50,-2.75%,891702
3,HALO,"Halozyme Therapeutics, Inc.",Healthcare,,,,,,,
4,QMCO,Quantum Corp,Technology,Computer Hardware,USA,988.80,,25.09,0.60%,1874028
5,TWST,Twist Bioscience Corp,Healthcare,Biotechnology,USA,10993.36,,166.99,7.35%,3073852
6,ADPT,Adaptive Biotechnologies Corp,Healthcare,Diagnostics & Research,USA,4566.04,,28.61,0.21%,2985539
7,BLFS,"BioLife Solutions, Inc.",Healthcare,,,,,,,
8,DK,Delek US Holdings Inc,Energy,Oil & Gas Refining & Marketing,USA,4783.46,21.96,78.12,-4.21%,11555091
9,GRAL,"GRAIL, Inc.",Healthcare,,,,,,,
10,HTFL,"Heartflow, Inc.",Healthcare,,,,,,,
11,TWLO,Twilio Inc,Technology,Software - Infrastructure,USA,37447.78,33.93,243.84,-0.97%,4057103
12,FTK,Flotek Industries Inc,Energy,Oil & Gas Equipment & Services,USA,1137.32,31.62,31.40,2.61%,579124
13,GCT,GigaCloud Technology Inc,Technology,Software - Infrastructure,USA,1887.64,12.52,52.86,-0.55%,1362853
14,INSW,International Seaways Inc,Energy,Oil & Gas Midstream,USA,5505.41,7.10,111.15,0.56%,1799720
15,PSNL,Personalis Inc,Healthcare,Diagnostics & Research,USA,1751.52,,16.40,1.05%,3180446
16,UMAC,Unusual Machines Inc,Technology,Computer Hardware,USA,1157.99,,23.18,-2.93%,2534198
17,ZBRA,Zebra Technologies Corporation,Technology,,,,,,,
18,AVT,Avnet Inc,Technology,Electronics & Computer Distribution,USA,7888.85,24.09,96.12,3.22%,2685009
19,CORT,Corcept Therapeutics Incorporated,Healthcare,,,,,,,
20,HNGE,Hinge Health Inc,Healthcare,Health Information Services,USA,7657.90,73.08,94.90,0.19%,4866296
21,RDVT,Red Violet Inc,Technology,Software - Application,USA,1218.61,67.24,75.94,-1.53%,289673
22,SN,"SharkNinja, Inc.",Consumer Cyclical,,,,,,,
23,URGN,UroGen Pharma Ltd,Healthcare,Biotechnology,USA,2114.08,,43.25,-1.59%,703082
24,ARX,Accelerant Holdings,Financial,,,,,,,
25,CSTL,"Castle Biosciences, Inc.",Healthcare,,,,,,,
26,FSLY,"Fastly, Inc.",Technology,,,,,,,
27,GH,Guardant Health Inc,Healthcare,Diagnostics & Research,USA,24072.11,,179.38,-2.03%,3080785
28,AEHR,Aehr Test Systems,Technology,,,,,,,
29,DGII,Digi International Inc,Technology,Communication Equipment,USA,2737.20,56.91,72.13,-0.73%,736826
30,NESR,National Energy Services Reunited Corp,Energy,Oil & Gas Equipment & Services,USA,3285.75,35.79,32.58,0.28%,3245526
31,PTGX,Protagonist Therapeutics Inc,Healthcare,Biotechnology,USA,9253.28,137.88,143.00,-0.49%,1837204
32,ARW,Arrow Electronics Inc,Technology,Electronics & Computer Distribution,USA,11164.07,14.01,219.31,2.00%,1088967
33,LITE,Lumentum Holdings Inc,Technology,Communication Equipment,USA,83502.62,,930.91,4.17%,9269371
