"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AAMI","Acadian Asset Management Inc","Financial","Asset Management","USA",3321.17,33.02,93.58,1.45%,385427
2,"ACA","Arcosa Inc","Industrials","Engineering & Construction","USA",7142.59,54.42,145.45,-0.02%,755786
3,"AGCO","AGCO Corp","Industrials","Farm & Heavy Construction Machinery","USA",9342.23,18.46,133.40,6.02%,2021263
4,"AGMB","AgomAb Therapeutics NV ADR","Healthcare","Biotechnology","Belgium",777.16,,15.78,6.41%,245268
5,"AIZ","Assurant Inc","Financial","Insurance - Property & Casualty","USA",14093.77,13.56,285.74,-0.68%,330116
6,"ALNY","Alnylam Pharmaceuticals Inc","Healthcare","Biotechnology","USA",35607.95,44.93,266.11,0.61%,1431221
7,"ALSN","Allison Transmission Holdings Inc","Consumer Cyclical","Auto Parts","USA",10837.54,20.84,131.24,2.18%,528618
8,"AMG","Affiliated Managers Group Inc","Financial","Asset Management","USA",9573.86,12.92,370.22,1.10%,244076
9,"AMR","Alpha Metallurgical Resources Inc","Basic Materials","Coking Coal","USA",2857.98,,225.41,3.79%,252973
10,"ANF","Abercrombie & Fitch Co","Consumer Cyclical","Apparel Retail","USA",6650.09,12.82,149.67,4.27%,1457606
11,"APGE","Apogee Therapeutics Inc","Healthcare","Biotechnology","USA",10223.14,,135.07,0.00%,0
12,"ARW","Arrow Electronics Inc","Technology","Electronics & Computer Distribution","USA",10994.04,13.80,215.97,2.42%,464366
13,"ARWR","Arrowhead Pharmaceuticals Inc","Healthcare","Biotechnology","USA",12195.91,,86.34,-0.17%,757847
14,"ASH","Ashland Inc","Basic Materials","Specialty Chemicals","USA",3339.71,64.52,72.93,-0.37%,398133
15,"ASST","Strive Inc","Financial","Asset Management","USA",2434.01,,27.14,1.19%,8996803
16,"ATKR","Atkore Inc","Industrials","Electrical Equipment & Parts","USA",3166.51,,93.76,0.12%,407105
17,"ATRC","Atricure Inc","Healthcare","Medical Instruments & Supplies","USA",2620.63,237.97,51.52,-1.79%,714569
18,"ATTO","Attovia Therapeutics Inc","Healthcare","Biotechnology","USA",1166.39,,25.55,5.58%,311049
19,"AUGO","Aura Minerals Inc","Basic Materials","Gold","USA",7114.54,24.09,84.91,-3.63%,849466
20,"AVT","Avnet Inc","Technology","Electronics & Computer Distribution","USA",7555.64,23.07,92.06,1.37%,1119973
21,"AXGN","Axogen Inc","Healthcare","Medical Devices","USA",2595.61,,48.28,2.51%,550070
22,"BE","Bloom Energy Corp","Industrials","Electrical Equipment & Parts","USA",74477.13,344.56,252.87,7.35%,16469363
23,"BEAM","Beam Therapeutics Inc","Healthcare","Biotechnology","USA",3063.51,,29.66,0.68%,1183164
24,"BETA","BETA Technologies Inc","Industrials","Aerospace & Defense","USA",5193.49,,22.20,6.68%,2820823
25,"BFH","Bread Financial Holdings Inc","Financial","Credit Services","USA",4259.54,8.67,110.87,1.91%,712927
26,"BIIB","Biogen Inc","Healthcare","Drug Manufacturers - General","USA",32628.52,39.11,220.83,-1.64%,465108
27,"BIO","Bio-Rad Laboratories Inc","Healthcare","Medical Devices","USA",10373.02,46.78,386.11,-0.46%,113034
28,"BLSM","BlossomHill Therapeutics Inc","Healthcare","Biotechnology","USA",674.47,,22.01,9.94%,168706
29,"BLTE","Belite Bio Inc ADR","Healthcare","Biotechnology","USA",7796.67,,193.61,13.16%,738953
30,"BSTZ","BlackRock Science and Technology Term Trust","Financial","Closed-End Fund - Equity","USA",2142.76,6.70,31.17,1.23%,107101
31,"BUUU","BUUU Group Ltd","Industrials","Specialty Business Services","Hong Kong",576.95,,34.60,9.25%,124912
32,"CACI","Caci International Inc","Technology","Information Technology Services","USA",13781.49,25.81,623.61,-1.01%,205744
33,"CAKE","Cheesecake Factory Inc","Consumer Cyclical","Restaurants","USA",5353.25,29.20,107.58,0.37%,1184393
34,"CBIO","Crescent Biopharma Inc","Healthcare","Biotechnology","USA",775.57,,20.88,2.35%,239695
